,Location,Climat_Koppen,Clusters
0,Adelaide,Csa,1
1,Albany,Csb,1
2,Albury,Cfa,1
3,AliceSprings,BSh,1
4,BadgerysCreek,Cfa,2
5,Ballarat,Cfb,1
6,Bendigo,Cfb,1
7,Brisbane,Cfa,4
8,Cairns,Am,6
9,Canberra,Cfb,1
10,Cobar,BSh,1
11,CoffsHarbour,Cfa,0
12,Dartmoor,Csb,1
13,Darwin,Aw,7
14,GoldCoast,Cfa,4
15,Hobart,Cfb,1
16,Katherine,Aw,8
17,Launceston,Cfb,1
18,Melbourne,Cfb,1
19,MelbourneAirport,Cfb,1
20,Mildura,BSk,1
21,Moree,Cfa,1
22,MountGambier,Csb,1
23,MountGinini,Cfc,3
24,Newcastle,Cfa,4
25,Nhil,Bsk,1
26,NorahHead,Cfa,3
27,NorfolkIsland,Cfa,3
28,Nuriootpa,BSk,1
29,PearceRAAF,Csb,9
30,Penrith,Cfa,2
31,Perth,Csb,9
32,PerthAirport,Csb,9
33,Portland,Csb,1
34,Richmond,Cfa,2
35,Sale,Cfb,1
36,SalmonGums,Bsk,1
37,Sydney,Cfa,4
38,SydneyAirport,Cfa,4
39,Townsville,Aw,2
40,Tuggeranong,Cfb,1
41,Uluru,BSh,1
42,WaggaWagga,Cfa,1
43,Walpole,Csb,1
44,Watsonia,Cfb,1
45,Williamtown,Cfa,5
46,Witchcliffe,Csb,1
47,Wollongong,Cfb,8
48,Woomera,Bwh,1
